ID,SelfStake,TotalStake
0x30,126622543845000000000000000,130723513733551076138659393
0xf,25000000000000000000000000,96539240786829381876054835
0xe,20000000000000000000000000,90506170352476405549940095
0x12,25000000000000000000000000,87197289141885431507215931
0xd,20000000000000000000000000,83237634654921173163770488
0x10,25000000000000000000000000,80251269983746246561432390
0x11,25000000000000000000000000,65261601305735541384474131
0x2a,4000000000000000000000000,60238685736966338957244675
0x2,5000000000000000000000000,49477322159218351715866822
0x1,5000000000000000000000000,44584229862354053426020418
0x9,5000000000000000000000000,41990556452375189492597296
0x2d,3063675533433617278400088,34748711623923554162954921
0x1e,3000005000000000000000000,34623480165503602621754482
0x1a,2200000000000000000000000,34504670597753064599112965
0xb,3000000000000000000000000,31058563320353464854042886
0x1b,1999999684924920207082481,28733834670211636035375219
0x2f,1890590509439853223140023,28286816783175503437838880
0x19,1500000000000000000000000,23004772877499552664287372
0x15,1400000000000000000000000,22092455364528557920519870
0x2c,1200000000000000000000000,19199875837305841973061000
0x4,5000000000000000000000000,14229933961801084921304124
0x1c,999999935771570787691258,11829218619816905582486070
0x17,799892587679814355024095,11734862110835203766103717
0xa,5000000000000000000000000,11675003943150321724932067
0x25,1500000000000000000000000,9208639715261137118281239
0xc,1000000000000000000000000,9197705725717791722514824
0x1d,1000000813482617565775619,8961607044587428538411654
0x3,5000000000000000000000000,8482624876154531025976916
0x7,5000000000000000000000000,7956108862689508784421603
0x6,5000000000000000000000000,7196607386562961112879118
0x5,5000000000000000000000000,6972172394766414277172726
0x8,5000000000000000000000000,6388287146548778090277283
0x27,595755000000000000000000,6280560603324434715372541
0x2e,3000000000000000000000000,6066954770737376374376477
0x32,6000000000000000000000000,6000000000000000000000000
0x1f,500000000000000000000000,4224787490045298730925956
0x23,500000000000000000000000,2692141114848524920351932
0x26,500000000000000000000000,1877590163980674951423476
0x22,534700000000000000000000,752929094144644019643584
0x16,0,591681504046957189774305
0x31,580154612888776758517803,589654612888776758517803
0x2b,501000000000000000000000,519212931218923860000000
0x18,0,70219681683722224214159
0x21,0,5861991308309108111233
0x28,0,3459227361857401488181
0x24,0,623969469232202793408
0x20,0,463157938167675781
0x29,0,200000000000000000
0x13,0,0
0x14,0,0
